DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
28,16,7.975,315.000,-22.700,73.500,CP,7.661,8.833
28,17,8.475,315.000,-22.700,73.500,CP,7.707,9.083
28,18,7.550,315.000,-22.700,73.500,CP,7.717,9.123
28,19,7.363,315.000,-22.700,73.500,CP,7.726,8.910
28,20,7.625,315.000,-22.700,73.500,CP,7.427,8.415
28,21,8.200,315.000,-22.700,73.500,CP,6.751,7.738
28,22,6.550,315.000,-22.700,73.500,CP,6.033,7.003
28,23,6.300,315.000,-22.700,73.500,CP,5.566,6.291
29,0,6.750,315.000,-22.700,70.900,CP,5.281,5.665
29,1,6.950,315.000,-22.700,70.900,CP,4.864,5.118
29,2,6.750,315.000,-22.700,70.900,CP,4.223,4.674
29,3,6.150,315.000,-22.700,70.900,CP,3.590,4.335
29,4,6.050,315.000,-22.700,70.900,CP,3.295,4.062
29,5,4.950,315.000,-22.700,70.900,CP,3.336,3.702
29,6,5.000,315.000,-22.700,70.900,CP,3.324,3.184
29,7,3.650,315.000,-22.700,70.900,CP,3.063,2.800
29,8,2.800,315.000,-22.700,70.900,CP,2.989,3.016
29,9,3.813,315.000,-22.700,70.900,CP,3.625,3.854
29,10,4.262,315.000,-22.700,70.900,CP,4.708,4.754
29,11,4.600,315.000,-22.700,70.900,CP,5.413,5.269
29,12,4.125,315.000,-22.700,70.900,CP,5.496,5.622
29,13,5.525,315.000,-22.700,70.900,CP,5.610,6.300
29,14,6.200,315.000,-22.700,70.900,CP,6.286,7.323
29,15,7.500,315.000,-22.700,70.900,CP,7.169,8.262
29,16,8.700,315.000,-22.700,70.900,CP,7.637,8.830
29,17,9.725,315.000,-22.700,70.900,CP,7.682,9.089
29,18,9.400,315.000,-22.700,70.900,CP,7.697,9.134
29,19,9.000,315.000,-22.700,70.900,CP,7.722,8.920
29,20,9.400,315.000,-22.700,70.900,CP,7.435,8.422
29,21,8.775,315.000,-22.700,70.900,CP,6.764,7.746
29,22,6.750,315.000,-22.700,70.900,CP,6.048,7.017
29,23,4.700,315.000,-22.700,70.900,CP,5.581,6.308
30,0,4.500,315.000,-22.700,71.400,CP,5.292,5.673
30,1,3.900,315.000,-22.700,71.400,CP,4.868,5.113
30,2,3.450,315.000,-22.700,71.400,CP,4.222,4.657
30,3,3.250,315.000,-22.700,71.400,CP,3.584,4.313
30,4,3.000,315.000,-22.700,71.400,CP,3.281,4.038
30,5,3.050,315.000,-22.700,71.400,CP,3.324,3.680
30,6,2.850,315.000,-22.700,71.400,CP,3.331,3.167
30,7,2.700,315.000,-22.700,71.400,CP,3.089,2.792
30,8,2.650,315.000,-22.700,71.400,CP,3.011,3.014
30,9,3.650,315.000,-22.700,71.400,CP,3.628,3.855
30,10,4.463,315.000,-22.700,71.400,CP,4.702,4.755
30,11,4.613,315.000,-22.700,71.400,CP,5.410,5.271
30,12,4.200,315.000,-22.700,71.400,CP,5.488,5.623
30,13,4.325,315.000,-22.700,71.400,CP,5.587,6.298
30,14,4.800,315.000,-22.700,71.400,CP,6.255,7.316
30,15,5.400,315.000,-22.700,71.400,CP,7.141,8.254
30,16,6.400,315.000,-22.700,71.400,CP,7.612,8.827
30,17,7.350,315.000,-22.700,71.400,CP,7.657,9.095
30,18,7.725,315.000,-22.700,71.400,CP,7.677,9.146
30,19,8.025,315.000,-22.700,71.400,CP,7.717,8.930
30,20,7.625,315.000,-22.700,71.400,CP,7.443,8.428
30,21,7.500,315.000,-22.700,71.400,CP,6.776,7.754
30,22,7.750,315.000,-22.700,71.400,CP,6.062,7.032
30,23,6.450,315.000,-22.700,71.400,CP,5.596,6.325
46,0,5.500,315.000,-22.700,69.200,CP,5.421,5.737
46,1,4.350,315.000,-22.700,69.200,CP,4.879,4.962
46,2,3.750,315.000,-22.700,69.200,CP,4.166,4.341
46,3,3.550,315.000,-22.700,69.200,CP,3.458,3.926
46,4,3.700,315.000,-22.700,69.200,CP,3.054,3.641
46,5,3.400,315.000,-22.700,69.200,CP,3.135,3.321
46,6,3.850,315.000,-22.700,69.200,CP,3.426,2.902
46,7,3.450,315.000,-22.700,69.200,CP,3.452,2.648
46,8,3.650,315.000,-22.700,69.200,CP,3.309,2.958
46,9,4.100,315.000,-22.700,69.200,CP,3.651,3.835
46,10,4.750,315.000,-22.700,69.200,CP,4.606,4.757
46,11,4.625,315.000,-22.700,69.200,CP,5.372,5.295
46,12,5.400,315.000,-22.700,69.200,CP,5.397,5.642
46,13,7.075,315.000,-22.700,69.200,CP,5.280,6.261
46,14,6.625,315.000,-22.700,69.200,CP,5.821,7.213
46,15,6.750,315.000,-22.700,69.200,CP,6.766,8.148
46,16,7.725,315.000,-22.700,69.200,CP,7.304,8.813
46,17,8.525,315.000,-22.700,69.200,CP,7.351,9.214
46,18,9.325,315.000,-22.700,69.200,CP,7.453,9.338
46,19,8.675,315.000,-22.700,69.200,CP,7.696,9.095
46,20,8.925,315.000,-22.700,69.200,CP,7.597,8.536
46,21,9.925,315.000,-22.700,69.200,CP,6.994,7.873
46,22,10.550,315.000,-22.700,69.200,CP,6.295,7.224
46,23,7.850,315.000,-22.700,69.200,CP,5.816,6.525
47,0,5.250,315.000,-22.700,69.000,CP,5.391,5.673
47,1,4.450,315.000,-22.700,69.000,CP,4.835,4.899
47,2,4.550,315.000,-22.700,69.000,CP,4.122,4.279
47,3,5.050,315.000,-22.700,69.000,CP,3.426,3.869
47,4,4.150,315.000,-22.700,69.000,CP,3.039,3.600
47,5,3.750,315.000,-22.700,69.000,CP,3.129,3.297
47,6,3.100,315.000,-22.700,69.000,CP,3.414,2.887
47,7,2.600,315.000,-22.700,69.000,CP,3.426,2.628
47,8,2.500,315.000,-22.700,69.000,CP,3.278,2.933
