DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
52,13,8.925,315.000,-22.700,69.200,CP,5.481,6.266
53,23,4.150,315.000,-22.700,69.700,CP,5.779,6.140
53,0,3.850,315.000,-22.700,69.700,CP,5.211,5.292
53,1,3.550,315.000,-22.700,69.700,CP,4.568,4.523
53,11,5.425,315.000,-22.700,69.700,CP,5.421,5.253
53,12,7.125,315.000,-22.700,69.700,CP,5.562,5.635
53,13,8.600,315.000,-22.700,69.700,CP,5.514,6.266
54,23,2.500,315.000,-22.700,69.200,CP,5.774,6.085
54,0,2.450,315.000,-22.700,69.200,CP,5.181,5.229
54,1,2.450,315.000,-22.700,69.200,CP,4.523,4.460
54,11,4.950,315.000,-22.700,69.200,CP,5.428,5.247
54,12,5.625,315.000,-22.700,69.200,CP,5.586,5.634
54,13,7.800,315.000,-22.700,69.200,CP,5.547,6.267
55,23,3.000,315.000,-22.700,69.000,CP,5.768,6.030
55,0,2.900,315.000,-22.700,69.000,CP,5.151,5.166
55,1,2.700,315.000,-22.700,69.000,CP,4.478,4.397
55,11,4.300,315.000,-22.700,69.000,CP,5.435,5.241
55,12,5.725,315.000,-22.700,69.000,CP,5.609,5.633
55,13,7.925,315.000,-22.700,69.000,CP,5.581,6.268
56,23,2.450,315.000,-22.700,68.900,CP,5.763,5.975
56,0,2.500,315.000,-22.700,68.900,CP,5.121,5.102
56,1,2.450,315.000,-22.700,68.900,CP,4.434,4.335
56,11,4.250,315.000,-22.700,68.900,CP,5.442,5.235
56,12,6.625,315.000,-22.700,68.900,CP,5.633,5.632
56,13,8.050,315.000,-22.700,68.900,CP,5.614,6.268
57,23,2.750,315.000,-22.700,69.200,CP,5.758,5.920
57,0,2.800,315.000,-22.700,69.200,CP,5.090,5.039
57,1,2.450,315.000,-22.700,69.200,CP,4.389,4.272
57,11,5.400,315.000,-22.700,69.200,CP,5.449,5.229
57,12,7.525,315.000,-22.700,69.200,CP,5.656,5.631
57,13,8.725,315.000,-22.700,69.200,CP,5.647,6.269
58,23,3.250,315.000,-22.700,69.400,CP,5.753,5.865
58,0,3.000,315.000,-22.700,69.400,CP,5.060,4.975
58,1,2.550,315.000,-22.700,69.400,CP,4.345,4.209
58,11,5.925,315.000,-22.700,69.400,CP,5.456,5.223
58,12,6.825,315.000,-22.700,69.400,CP,5.680,5.629
58,13,7.800,315.000,-22.700,69.400,CP,5.680,6.270
59,23,3.850,315.000,-22.700,68.800,CP,5.747,5.810
59,0,4.050,315.000,-22.700,68.800,CP,5.030,4.911
59,1,4.350,315.000,-22.700,68.800,CP,4.300,4.146
59,11,7.775,315.000,-22.700,68.800,CP,5.463,5.217
59,12,8.675,315.000,-22.700,68.800,CP,5.704,5.628
59,13,9.275,315.000,-22.700,68.800,CP,5.714,6.270
60,23,3.750,315.000,-22.700,68.700,CP,5.742,5.755
60,0,3.600,315.000,-22.700,68.700,CP,5.000,4.848
60,1,3.550,315.000,-22.700,68.700,CP,4.256,4.083
60,11,6.700,315.000,-22.700,68.700,CP,5.470,5.211
60,12,7.850,315.000,-22.700,68.700,CP,5.727,5.627
60,13,8.450,315.000,-22.700,68.700,CP,5.747,6.271
61,23,4.200,315.000,-22.700,68.200,CP,5.737,5.700
61,0,3.250,315.000,-22.700,68.200,CP,4.970,4.784
61,1,3.150,315.000,-22.700,68.200,CP,4.211,4.021
61,11,7.400,315.000,-22.700,68.200,CP,5.477,5.205
61,12,9.025,315.000,-22.700,68.200,CP,5.751,5.626
61,13,10.425,315.000,-22.700,68.200,CP,5.780,6.272
62,23,3.650,315.000,-22.700,68.300,CP,5.731,5.645
62,0,3.400,315.000,-22.700,68.300,CP,4.940,4.721
62,1,3.350,315.000,-22.700,68.300,CP,4.166,3.958
62,11,6.675,315.000,-22.700,68.300,CP,5.484,5.199
62,12,7.700,315.000,-22.700,68.300,CP,5.774,5.625
62,13,9.200,315.000,-22.700,68.300,CP,5.814,6.273
63,23,2.600,315.000,-22.700,69.700,CP,5.726,5.590
63,0,2.600,315.000,-22.700,69.700,CP,4.910,4.657
63,1,2.750,315.000,-22.700,69.700,CP,4.122,3.895
63,11,7.725,315.000,-22.700,69.700,CP,5.491,5.193
63,12,8.050,315.000,-22.700,69.700,CP,5.798,5.624
63,13,8.775,315.000,-22.700,69.700,CP,5.847,6.273
64,23,3.400,315.000,-22.700,70.800,CP,5.721,5.535
64,0,3.500,315.000,-22.700,70.800,CP,4.879,4.594
64,1,3.450,315.000,-22.700,70.800,CP,4.077,3.832
64,11,6.750,315.000,-22.700,70.800,CP,5.498,5.187
64,12,8.100,315.000,-22.700,70.800,CP,5.821,5.623
64,13,9.225,315.000,-22.700,70.800,CP,5.880,6.274
65,23,3.450,315.000,-22.700,71.300,CP,5.715,5.480
65,0,3.300,315.000,-22.700,71.300,CP,4.849,4.530
65,1,2.950,315.000,-22.700,71.300,CP,4.032,3.769
66,23,5.600,315.000,-22.700,69.900,CP,5.710,5.425
66,0,6.875,315.000,-22.700,69.900,CP,4.819,4.467
66,1,7.975,315.000,-22.700,69.900,CP,3.988,3.707
67,23,4.750,315.000,-22.700,70.700,CP,5.705,5.370
67,0,3.900,315.000,-22.700,70.700,CP,4.789,4.403
67,1,3.850,315.000,-22.700,70.700,CP,3.943,3.644
67,11,7.350,315.000,-22.700,70.700,CP,5.519,5.169
67,12,8.825,315.000,-22.700,70.700,CP,5.892,5.620
67,13,9.200,315.000,-22.700,70.700,CP,5.980,6.276
68,23,3.500,315.000,-22.700,69.700,CP,5.699,5.315
68,0,3.300,315.000,-22.700,69.700,CP,4.759,4.340
68,1,2.950,315.000,-22.700,69.700,CP,3.899,3.581
68,11,5.775,315.000,-22.700,69.700,CP,5.526,5.163
68,12,6.575,315.000,-22.700,69.700,CP,5.915,5.619
68,13,7.825,315.000,-22.700,69.700,CP,6.013,6.277
69,23,2.550,315.000,-22.700,70.100,CP,5.694,5.260
69,0,2.250,315.000,-22.700,70.100,CP,4.729,4.276
69,1,2.300,315.000,-22.700,70.100,CP,3.854,3.518
69,11,9.025,315.000,-22.700,70.100,CP,5.533,5.157
69,12,9.175,315.000,-22.700,70.100,CP,5.939,5.618
69,13,9.475,315.000,-22.700,70.100,CP,6.047,6.277
70,23,2.600,315.000,-22.700,69.500,CP,5.689,5.205
70,0,2.650,315.000,-22.700,69.500,CP,4.698,4.213
70,1,2.700,315.000,-22.700,69.500,CP,3.809,3.455
70,11,8.325,315.000,-22.700,69.500,CP,5.540,5.151
