# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-15T13:32:23.000Z
#
# Location: GEO 42.6N 288.5E, URSI-Code MHJ45 MILLSTONE HILL
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
#Time                     CS   foF2 QD
2019-12-31T08:55:00.000Z  70  2.750 //
2019-12-31T09:00:00.000Z  40  3.000 //
2019-12-31T09:05:00.000Z  40  2.875 //
2019-12-31T09:10:00.000Z  60  3.125 //
2019-12-31T09:15:00.000Z  70  2.975 //
2019-12-31T09:20:00.000Z  70  3.000 //
2019-12-31T09:25:00.000Z  70  3.025 //
2019-12-31T09:30:00.000Z  40  3.125 //
2019-12-31T09:35:00.000Z  70  3.050 //
2019-12-31T09:40:00.000Z  70  3.100 //
2019-12-31T09:45:00.000Z  70  3.050 //
2019-12-31T09:50:00.000Z  70  3.075 //
2019-12-31T09:55:00.000Z  20  3.100 //
2019-12-31T10:00:00.000Z  40  3.050 //
2019-12-31T10:05:00.000Z  70  3.625 //
2019-12-31T10:10:00.000Z  40  3.125 //
2019-12-31T10:15:00.000Z  70  2.900 //
2019-12-31T10:20:00.000Z  70  3.075 //
2019-12-31T10:25:00.000Z  70  2.775 //
2019-12-31T10:30:00.000Z  70  2.675 //
2019-12-31T10:35:00.000Z  70  2.700 //
2019-12-31T10:40:00.000Z  70  2.775 //
2019-12-31T10:45:00.000Z  70  2.900 //
2019-12-31T10:50:00.000Z  60  2.850 //
2019-12-31T10:55:00.000Z  70  2.700 //
2019-12-31T11:00:00.000Z  70  2.700 //
2019-12-31T11:05:00.000Z  70  2.700 //
2019-12-31T11:10:00.000Z  70  3.025 //
2019-12-31T11:15:00.000Z  70  2.750 //
2019-12-31T11:20:00.000Z  70  2.775 //
2019-12-31T11:25:00.000Z  60  2.875 //
2019-12-31T11:30:00.000Z  70  2.788 //
2019-12-31T11:35:00.000Z  70  2.700 //
2019-12-31T11:40:00.000Z  70  2.775 //
2019-12-31T11:45:00.000Z  70  2.875 //
2019-12-31T11:50:00.000Z  70  2.950 //
2019-12-31T11:55:00.000Z  70  3.075 //
2019-12-31T12:00:00.000Z  70  3.425 //
2019-12-31T12:05:00.000Z  70  3.400 //
2019-12-31T12:10:00.000Z  70  3.550 //
2019-12-31T12:15:00.000Z  40  3.775 //
2019-12-31T12:20:00.000Z  80  3.975 //
2019-12-31T12:25:00.000Z  60  3.550 //
2019-12-31T12:30:00.000Z  70  3.625 //
2019-12-31T12:35:00.000Z  60  3.976 //
2019-12-31T12:40:00.000Z  70  4.282 //
2019-12-31T12:45:00.000Z  70  4.457 //
2019-12-31T12:50:00.000Z  60  4.538 //
2019-12-31T12:55:00.000Z  70  4.554 //
2019-12-31T13:00:00.000Z   0  4.925 //
2019-12-31T13:05:00.000Z  70  4.963 //
2019-12-31T13:10:00.000Z  60  4.632 //
2019-12-31T13:15:00.000Z   0  4.950 //
2019-12-31T13:20:00.000Z  40  4.231 //
2019-12-31T13:25:00.000Z   0  5.200 //
2019-12-31T13:30:00.000Z   0  5.325 //
2019-12-31T13:35:00.000Z  40  5.200 //
2019-12-31T13:40:00.000Z   0  5.075 //
2019-12-31T13:45:00.000Z  80  5.207 //
2019-12-31T13:50:00.000Z   0  5.325 //
2019-12-31T13:55:00.000Z  80  5.213 //
2019-12-31T14:00:00.000Z  70  5.327 //
2019-12-31T14:05:00.000Z   0  5.175 //
2019-12-31T14:10:00.000Z  70  4.657 //
2019-12-31T14:15:00.000Z  70  4.932 //
2019-12-31T14:20:00.000Z  70  4.988 //
2019-12-31T14:25:00.000Z  80  5.113 //
2019-12-31T14:30:00.000Z   0  5.100 //
2019-12-31T14:35:00.000Z  60  4.888 //
2019-12-31T14:40:00.000Z  70  4.613 //
2019-12-31T14:45:00.000Z  70  4.557 //
2019-12-31T14:50:00.000Z  70  4.688 //
2019-12-31T14:55:00.000Z  70  4.688 //
2019-12-31T15:00:00.000Z  70  4.882 //
2019-12-31T15:05:00.000Z  80  4.800 //
2019-12-31T15:10:00.000Z  80  4.682 //
2019-12-31T15:15:00.000Z  80  4.407 //
2019-12-31T15:20:00.000Z  50  4.413 //
2019-12-31T15:25:00.000Z   0  4.375 //
2019-12-31T15:30:00.000Z  70  4.925 //
2019-12-31T15:35:00.000Z  70  5.113 //
2019-12-31T15:40:00.000Z  40  5.113 //
2019-12-31T15:45:00.000Z  70  4.907 //
2019-12-31T15:50:00.000Z  60  5.463 //
2019-12-31T15:55:00.000Z  70  5.731 //
2019-12-31T16:00:00.000Z  80  6.001 //
2019-12-31T16:05:00.000Z  80  6.238 //
2019-12-31T16:10:00.000Z  60  6.282 //
2019-12-31T16:15:00.000Z  80  6.352 //
2019-12-31T16:20:00.000Z  60  6.379 //
2019-12-31T16:25:00.000Z  80  6.263 //
2019-12-31T16:30:00.000Z  80  6.182 //
2019-12-31T16:35:00.000Z  80  6.182 //
2019-12-31T16:40:00.000Z   0  6.150 //
2019-12-31T16:45:00.000Z  80  6.063 //
2019-12-31T16:50:00.000Z  80  5.900 //
2019-12-31T16:55:00.000Z  70  5.638 //
2019-12-31T17:00:00.000Z  70  5.513 //
2019-12-31T17:05:00.000Z  80  5.582 //
2019-12-31T17:10:00.000Z  80  5.663 //
2019-12-31T17:15:00.000Z  80  5.654 //
2019-12-31T17:20:00.000Z  80  5.613 //
2019-12-31T17:25:00.000Z  80  5.513 //
